ID,TimeStamp,Temperature,RelativeHumidity,Light,OxygenLevels,HumidityRatio,GTOccupancy
2342,06-02-15 8:51,20.84,19.745,433,629.75,0.002999974,1
6419,09-02-15 4:49,19.29,26.89,0,466,0.003715958,0
3330,07-02-15 1:20,20,18.7,0,435.5,0.002696288,0
7188,09-02-15 17:38,22.2,38.43333333,429.5,1943.5,0.006380756,1
7655,10-02-15 1:25,20.245,32.9,0,469,0.00483268,0
371,05-02-15 0:01,21.245,25.245,0,458.5,0.003938177,0
4298,07-02-15 17:28,20.5,21.245,0,439.5,0.003161768,0
7261,09-02-15 18:51,21.29,36.45,0,1381.5,0.005718069,0
4486,07-02-15 20:36,20,25.7,0,439.5,0.003711616,0
3715,07-02-15 7:45,19.7,19.39,0,445,0.002744454,0
7782,10-02-15 3:32,20.2,32.9,0,448.3333333,0.004819147,0
3687,07-02-15 7:17,19.66666667,19.35666667,0,453.3333333,0.002734025,0
5510,08-02-15 13:40,20.7,27.39,147.5,420.5,0.004133283,0
4656,07-02-15 23:25,19.7,28.945,0,437.5,0.004105793,0
837,05-02-15 7:46,20.815,22.8675,411,497.75,0.00347167,1
7314,09-02-15 19:44,20.7,35.345,0,1060,0.005344045,0
2000,06-02-15 3:10,20.525,19.075,0,432,0.002841746,0
342,04-02-15 23:31,21.2,25.29,0,468,0.003934293,0
2665,06-02-15 14:15,21.89,19.5,534.6666667,688.3333333,0.003160516,1
7755,10-02-15 3:04,20.29,32.9,0,451,0.004846247,0
7226,09-02-15 18:16,21.84,37.345,0,1682,0.006062353,0
5627,08-02-15 15:36,20,26.29,40.5,421.5,0.003797345,0
5202,08-02-15 8:31,19.2225,31.125,11.5,430.5,0.004287056,0
8074,10-02-15 8:23,20.29,33.2,0,460,0.004890785,0
5324,08-02-15 10:34,19.29,30.56666667,6,428.6666667,0.004227494,0
5752,08-02-15 17:42,19.39,27.2,0,423,0.003782676,0
4417,07-02-15 19:27,20.1,24.2,0,439,0.003515591,0
4823,08-02-15 2:12,19.39,30.7,0,440.5,0.004272761,0
2347,06-02-15 8:57,20.85666667,19.79333333,433,648,0.003010454,1
1194,05-02-15 13:44,22.34,26.1,476.5,870,0.004356163,0
7814,10-02-15 4:04,20.2,32.9,0,446,0.004819147,0
7320,09-02-15 19:50,20.7,35.29,0,1048,0.005335658,0
5603,08-02-15 15:13,20.2,26.2225,57.75,426.5,0.003835005,0
6452,09-02-15 5:22,19.5,26.7,0,459,0.003738374,0
200,04-02-15 21:10,21.5,26.1,0,493.75,0.004137006,0
3874,07-02-15 10:24,21.6,18.39,297,462.5,0.002927154,0
6149,09-02-15 0:19,19.5,27,0,462,0.003780633,0
1755,05-02-15 23:05,20.5,21.29,0,444.5,0.003168499,0
2579,06-02-15 12:49,21.7,20,499,760,0.00320437,1
1878,06-02-15 1:08,20.26,20.7,0,443,0.003034714,0
1158,05-02-15 13:08,22.79,25.865,38.75,979,0.004437124,0
3359,07-02-15 1:49,19.89,18.89,0,437,0.002705218,0
3352,07-02-15 1:41,19.89,18.815,0,435,0.002694431,0
2988,06-02-15 19:38,20.39,19.29,0,497,0.002849966,0
1235,05-02-15 14:25,22.2,26.9175,447,842.5,0.004455187,1
1125,05-02-15 12:35,22.7,26.89,545.75,1104.75,0.004588962,0
1887,06-02-15 1:17,20.2,20.6,0,444.5,0.003008744,0
3773,07-02-15 8:43,19.7,19.5,13,451.5,0.002760093,0
2154,06-02-15 5:44,20.29,18.7,0,434,0.002745321,0
6944,09-02-15 13:34,21.16666667,32.79,167,1117.333333,0.005100102,0
8138,10-02-15 9:28,21.05,36.05,433,780.25,0.005571307,1
3579,07-02-15 5:29,19.745,19.34,0,443.5,0.002745037,0
6465,09-02-15 5:35,19.5,26.745,0,465,0.003744712,0
987,05-02-15 10:17,22.1,26.625,469,1047.4,0.004379478,1
4538,07-02-15 21:28,19.89,26.79,0,437,0.003843561,0
1671,05-02-15 21:40,20.79,20.245,0,460,0.003066817,0
1032,05-02-15 11:02,22.1,26.5,465.25,1054,0.004358773,1
6092,08-02-15 23:22,19.5,27.6,0,452.3333333,0.00386517,0
7237,09-02-15 18:27,21.63333333,36.93333333,0,1544.333333,0.005918916,0
3028,06-02-15 20:18,20.39,19.2,0,454,0.002836609,0
5377,08-02-15 11:26,19.1,30.89,14,429.25,0.004221877,0
767,05-02-15 6:36,20.89,23,0,449,0.003508143,0
3103,06-02-15 21:33,20.2,18.89,0,443,0.002757882,0
2218,06-02-15 6:48,20.29,18.6,0,435.5,0.002730576,0
6582,09-02-15 7:32,19.39,26.1,0,466,0.003628808,0
3624,07-02-15 6:14,19.7225,19.39,0,450.5,0.002748307,0
6543,09-02-15 6:53,19.29,26.2,0,466.5,0.003620051,0
6561,09-02-15 7:11,19.34,26,0,468.5,0.003603525,0
6415,09-02-15 4:45,19.29,26.89,0,458,0.003715958,0
3552,07-02-15 5:02,19.7,19.39,0,441,0.002744454,0
6091,08-02-15 23:21,19.46333333,27.56666667,0,447,0.003851625,0
5080,08-02-15 6:29,19.23,31.56666667,0,432,0.004350362,0
5732,08-02-15 17:22,19.39,27.175,7,421,0.003779178,0
6,04-02-15 17:55,23.1,27.2,419,701,0.004756993,1
3836,07-02-15 9:46,20.79,18.815,205.5,461.6666667,0.002849201,0
1776,05-02-15 23:25,20.39,21.29,0,451,0.003146948,0
3064,06-02-15 20:54,20.2,19.2,0,452,0.002803345,0
4943,08-02-15 4:13,19.32333333,31.29,0,431,0.004337287,0
2838,06-02-15 17:08,21.79,21.79,450.6666667,935,0.003512146,1
897,05-02-15 8:47,21.39,24.29,444,753.75,0.003822332,1
1965,06-02-15 2:35,20.6,19.39,0,433.5,0.002902349,0
5386,08-02-15 11:36,19.1,30.89,6,434.3333333,0.004221877,0
3367,07-02-15 1:57,19.89,18.89,0,440,0.002705218,0
6353,09-02-15 3:42,19.34,26.7,0,471,0.00370112,0
829,05-02-15 7:38,20.7,22.4175,426,460.25,0.003378833,0
3505,07-02-15 4:14,19.79,19.29,0,446.5,0.002745599,0
7936,10-02-15 6:06,20.1,33.09,0,449,0.004817065,0
7195,09-02-15 17:44,22.1,38.29,433,1901.75,0.006317712,1
7141,09-02-15 16:51,22.1,38.79,433,2000,0.006401059,1
1410,05-02-15 17:19,22.29,25.2,433,966,0.004192075,1
1053,05-02-15 11:23,22.2,26.6,454.6666667,1069,0.004402265,1
5259,08-02-15 9:29,19.29,30.9175,30.75,434,0.004276349,0
2766,06-02-15 15:55,22,20.96333333,478,854,0.003422005,1
5287,08-02-15 9:56,19.365,30.6,24,427,0.004252081,0
8105,10-02-15 8:55,20.55,33.79,405,508,0.005059615,1
1511,05-02-15 19:01,21.2,21.2,0,600,0.003294654,0
6296,09-02-15 2:45,19.39,26.7,0,470.5,0.003712727,0
754,05-02-15 6:23,20.89,23.1,0,449.5,0.003523482,0
3756,07-02-15 8:25,19.7,19.55,6,459,0.002767201,0
4115,07-02-15 14:25,22.39,17.315,123,437,0.002891948,0
4826,08-02-15 2:16,19.39,30.79,0,438,0.004285374,0
2677,06-02-15 14:26,22,20,559.3333333,756.3333333,0.003263927,1
3929,07-02-15 11:19,22.445,17.65,353,458,0.002958087,0
7674,10-02-15 1:44,20.29,33,0,456,0.004861092,0
3883,07-02-15 10:33,21.745,18.2,324.75,458.25,0.002922692,0
7157,09-02-15 17:06,22.1,39,433,2012.5,0.006436072,1
7350,09-02-15 20:19,20.5,34.9,0,916,0.005210986,0
4892,08-02-15 3:22,19.29,31.15,0,438,0.00430873,0
3300,07-02-15 0:49,20,18.66666667,0,433.3333333,0.002691461,0
1182,05-02-15 13:32,22.29,26.16666667,334.3333333,900.3333333,0.004354007,1
7514,09-02-15 23:04,20.445,33,0,543,0.004908225,0
2420,06-02-15 10:09,21.315,21.29,460,841,0.003332265,1
488,05-02-15 1:58,21.05,25.05,0,437.5,0.003860772,0
7611,10-02-15 0:40,20.29,32.975,0,474.75,0.004857381,0
5786,08-02-15 18:16,19.29,27.5,0,427,0.00380077,0
1143,05-02-15 12:53,22.65,26.495,630,1034,0.004507267,1
4410,07-02-15 19:20,20.1,24.1,0,445,0.003500982,0
7658,10-02-15 1:27,20.29,33,0,467,0.004861092,0
